Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,Reti,Assist,G+A,Amm.,Esp.,xG,npxG,xAG
306,Jesper Lindstrøm,DEN,Att,Napoli,24,2000,21,2,425,0,0,0,2,0,0.7,0.7,1.0
307,Karol Linetty,POL,Cen,Torino,29,1995,26,17,"1,684",0,0,0,11,0,0.4,0.4,0.8
308,Luca Lipani,ITA,Cen,Sassuolo,18,2005,7,4,302,0,0,0,0,0,0.1,0.1,0.1
309,Pol Lirola,ESP,Dif,Frosinone,26,1997,23,16,"1,362",2,1,3,1,0,1.2,1.2,1.1
310,Marcin Listkowski,POL,Att,Lecce,26,1998,1,0,8,0,0,0,0,0,0.0,0.0,0.0
311,Diego Llorente,ESP,Dif,Roma,30,1993,28,26,"2,080",1,1,2,5,0,0.3,0.3,0.6
312,Stanislav Lobotka,SVK,Cen,Napoli,29,1994,36,36,"3,102",0,1,1,4,0,0.6,0.6,1.3
313,Manuel Locatelli,ITA,Cen,Juventus,26,1998,35,33,"2,918",1,4,5,6,0,1.2,1.2,1.4
314,Ruben Loftus-Cheek, ENG,Cen,Milan,28,1996,29,26,"2,068",6,1,7,5,0,3.7,3.7,2.4
315,Ademola Lookman,NGA,Att,Atalanta,26,1997,29,20,"1,749",9,6,15,4,0,7.7,7.7,5.0
316,Maxime Lopez,FRA,Cen,Fiorentina,26,1997,17,6,706,0,0,0,1,0,0.2,0.2,0.6
318,Matteo Lovato,ITA,Dif,Torino,24,2000,11,6,514,0,0,0,2,0,0.0,0.0,0.0
320,Sandi Lovrić,SVN,Cen,Udinese,26,1998,29,21,"1,987",1,3,4,1,1,3.5,3.5,3.3
321,Lorenzo Lucca,ITA,Att,Udinese,23,2000,35,28,"2,412",8,3,11,6,0,7.8,7.8,1.3
322,Jhon Lucumí,COL,Dif,Bologna,25,1998,27,21,"2,037",0,0,0,1,0,0.6,0.6,0.3
323,José Luis Palomino,ARG,Dif,Atalanta,34,1990,4,0,27,0,0,0,0,0,0.0,0.0,0.0
324,Romelu Lukaku,BEL,Att,Roma,31,1993,31,29,"2,552",12,3,15,4,1,9.7,8.9,2.2
325,Karlo Lulić,CRO,Cen,Frosinone,28,1996,1,0,19,0,0,0,0,0,0.0,0.0,0.0
326,Sebastiano Luperto,ITA,Dif,Empoli,27,1996,36,36,"3,226",1,1,2,4,0,1.7,1.7,1.0
327,Mateus Lusuardi,BRA,Dif,Frosinone,20,2004,4,3,219,0,0,0,1,0,0.1,0.1,0.0
328,Zito Luvumbo,ANG,Att,Cagliari,22,2002,28,18,"1,824",4,5,9,5,0,3.6,3.6,3.0
329,Charalambos Lykogiannis,GRE,Dif,Bologna,30,1993,21,9,814,2,1,3,2,0,1.2,1.2,1.4
330,Giulio Maggiore,ITA,Cen,Salernitana,26,1998,25,19,"1,674",3,2,5,9,1,1.9,1.9,1.1
331,Giangiacomo Magnani,ITA,Dif,Hellas Verona,28,1995,31,27,"2,396",0,0,0,6,0,0.5,0.5,0.2
332,Mike Maignan,FRA,Por,Milan,28,1995,29,29,"2,609",0,1,1,1,1,0.0,0.0,0.3
333,Antoine Makoumbou,CGO,Cen,Cagliari,25,1998,32,32,"2,702",1,0,1,5,2,0.7,0.7,0.9
334,Daniel Maldini,ITA,Cen,Monza,22,2001,11,2,333,4,1,5,0,0,1.3,1.3,1.2
336,Youssef Maleh,MAR,Cen,Empoli,25,1998,32,28,"2,436",0,1,1,11,0,1.5,1.5,2.4
337,Ruslan Malinovskyi,UKR,Cen,Genoa,31,1993,26,17,"1,472",3,1,4,7,0,0.9,0.9,0.5
338,Gianluca Mancini,ITA,Dif,Roma,28,1996,34,33,"2,769",4,1,5,9,0,1.9,1.9,1.1
339,Marco Mancosu,ITA,Cen,Cagliari,35,1988,5,3,155,0,0,0,0,0,1.2,0.5,0.2
340,Christos Mandas,GRE,Por,Lazio,22,2001,9,8,721,0,0,0,0,0,0.0,0.0,0.0
341,Rolando Mandragora,ITA,Cen,Fiorentina,26,1997,31,15,"1,520",3,3,6,3,0,3.4,3.4,1.6
342,Kostas Manolas,GRE,Dif,Salernitana,32,1991,7,6,469,0,0,0,0,0,0.1,0.1,0.1
343,Riccardo Marchizza,ITA,Dif,Frosinone,26,1998,13,13,"1,148",0,4,4,1,0,0.4,0.4,0.8
344,Gian Marco Ferrari,ITA,Dif,Sassuolo,32,1992,29,23,"2,092",1,0,1,4,0,1.6,1.6,0.3
345,Pablo Marí,ESP,Dif,Monza,30,1993,32,28,"2,435",0,0,0,7,0,0.4,0.4,0.3
346,Mirko Marić,CRO,Att,Monza,28,1995,10,1,287,1,0,1,0,1,0.9,0.9,0.5
347,Răzvan Marin,ROU,Cen,Empoli,27,1996,28,19,"1,717",0,3,3,1,0,1.0,1.0,2.7
348,Agustín Martegani,ARG,Cen,Salernitana,23,2000,18,6,731,1,0,1,1,0,0.6,0.6,0.5
349,Aarón Martín,ESP,Dif,Genoa,27,1997,20,15,"1,196",0,0,0,4,1,0.1,0.1,1.5
350,Josep Martinez,ESP,Por,Genoa,25,1998,35,35,"3,149",0,0,0,4,1,0.0,0.0,0.0
351,Lautaro Martínez,ARG,Att,Inter,26,1997,32,30,"2,566",24,3,27,5,0,17.4,15.0,3.2
352,Lucas Martínez Quarta,ARG,Dif,Fiorentina,28,1996,26,24,"2,086",5,0,5,8,0,2.7,2.7,0.6
353,Adam Marušić,MNE,Dif,Lazio,31,1992,35,35,"2,920",1,0,1,3,1,0.4,0.4,0.8
354,Adam Masina,MAR,Dif,Udinese,30,1994,4,1,64,0,0,0,2,0,0.1,0.1,0.0
356,Alan Matturro,URU,Dif,Genoa,19,2004,5,1,92,0,0,0,0,0,0.0,0.0,0.0
357,Luca Mazzitelli,ITA,Cen,Frosinone,28,1995,29,26,"2,210",5,0,5,6,1,2.3,2.3,1.1
358,Pasquale Mazzocchi,ITA,Dif,Salernitana,28,1995,18,16,"1,272",0,1,1,4,0,0.3,0.3,1.3
360,Jordi Mboula,ESP,Att,Hellas Verona,25,1999,11,5,307,0,1,1,0,0,0.2,0.2,0.4
361,Weston McKennie,USA,Cen,Juventus,25,1998,34,29,"2,594",0,7,7,6,0,3.0,3.0,3.9
